Restaurant,Categtory,Cuisine,Building,Level,Address,Open,Close,Bfast,Lunch,Dinner,Cost,Rating,Link,Coordinates
Cardigan Donuts,Coffee,Pastries,City Center,Skyway,"City Center, 40 S 7th St #207, Minneapolis, MN 55402",6:30am,5:00pm,Yes,Yes,No,<$10,4.6,https://cardigandonuts.com/menu#donuts,"44.97787497108468, -93.27306567917867"
Cardigan Donuts,Coffee,Pastries,IDS,Skyway,"80 S 8th St #226, Minneapolis, MN 55402",7:00am,5:30pm,Yes,Yes,No,<$10,4.8,https://cardigandonuts.com/menu#donuts,"44.97631679061909, -93.27158538110533"
Fhima's Minneapolis,Dine-in,American,City Center,Ground,"40 S 7th St, Minneapolis, MN 55402",11:30am,11:00pm,No,Yes,Yes,>$50,4.6,http://fhimasmpls.com/menus/,"44.977960852338505, -93.27382053111705"
Los Ocampo Express,Fast casual,Mexican,City Center,Skyway,"40 S 7th St, Minneapolis, MN 55402",11:00am,2:30pm,No,Yes,No,<$20,4.2,http://losocampoexpress.com/,"44.97774907406701, -93.27284523712066"
Bon Appetit Café,Coffee,,Meet Minneapolis Visitor Center,Ground,"Marriott Hotel City Center, 33 South 6th St, Minneapolis, MN 55402",8:00am,3:00pm,Yes,Yes,No,,,,"44.97754768909556, -93.27281401301909"
Mocha Mamma's Coffee,Coffee,Coffee,Library,Ground,"300 Nicollet Mall, Minneapolis, MN 55401",8:00am,4:00pm,Yes,Yes,No,<$10,4.8,,"44.98037021893838, -93.26997748887388"
Vellee Delie,Fast casual,Asian Fusion,Baker Center,Skyway,"109 S 7th St Suite 263, Minneapolis, MN 55402",11:00am,2:00pm,No,Yes,No,<$15,4.6,https://www.toasttab.com/locations/fbdf4a5c-d65d-4803-ba4a-c965c153ea03,"44.97610519343347, -93.27058904698664"
Sushi Takatsu,Fast casual,Sushi,Baker Center,Skyway,"733 S Marquette Ave, Minneapolis, MN 55402",10:30am,3:00pm,No,Yes,No,<$15,4.8,https://www.doordash.com/store/sushi-takatsu-minneapolis-1203144/,"44.97559859061656, -93.27102499646716"
123Sushi,Fast casual,Sushi,IDS,Skyway,"80 S 8th St Suite 228, Minneapolis, MN 55402",11:00am,6:00pm,No,Yes,Yes,<$20,4.2,,"44.976355615821326, -93.27167727641327"
Gray Fox Coffee & Wine,Coffee,Coffee,Deluxe,Ground,"801 S Marquette Ave, Minneapolis, MN 55402",7:30am,6:00pm,Yes,Yes,No,<$10,4.7,https://www.grayfoxcoffee.com/menu,"44.97499207116145, -93.2714506012356"
Gray Fox Coffee & Wine,Coffee,Coffee,AT&T,Ground,"901 S Marquette Ave, Minneapolis, MN 55402",7:30am,2:30pm,Yes,Yes,No,<$10,3.6,http://www.grayfoxcoffee.com/,"44.97454026994919, -93.27223062577134"
Gray Fox Coffee & Wine,Coffee,Coffee,LeSalle Plaza,Ground,"800 La Salle Ave, Minneapolis, MN 55402",7:30am,2:00pm,Yes,Yes,No,<$10,5,http://www.grayfoxcoffee.com/,"44.97665019634293, -93.27506303831038"
Ginellis Pizza,Fast casual,Pizza,Deluxe,Skyway,"121 S 8th St, Minneapolis, MN 55402",8:00am,3:00pm,Yes,Yes,No,<$10,4.6,https://ginellispizza.com/ginellis/order?utm_source=google,"44.974820827323924, -93.27121322573124"
8th Street Grill,Drinks,Drinks,RSM,Ground,"800 S Marquette Ave UNIT 107, Minneapolis, MN 55402",11:00am,9:00pm,No,Yes,Yes,<$20,4.3,http://www.8thstreetgrillmn.com/regular-menu,"44.97531054043419, -93.27198148263136"
Manny's Steakhouse,Dine-in,Steak,The Foshay,Ground,"825 S Marquette Ave, Minneapolis, MN 55402",7:00am,9:00pm,Yes,Yes,Yes,>$50,4.6,https://mannyssteakhouse.com/uploads/Mannys-Dinner-Menu.pdf,"44.97440924801281, -93.27200820871973"
Prohibition Bar,Drinks,Drinks,The Foshay,Top floor,"Speakeasy in the Sky, 821 S Marquette Ave 27th Floor, Minneapolis, MN 55402",5:00pm,11:00pm,No,No,Yes,<$20,4.3,https://thelivingroom-prohibition.com/,"44.974655741152, -93.27182345495714"
Keys at the Foshay,Dine-in,American,The Foshay,Ground,"114 S 9th St, Minneapolis, MN 55402",8:00am,2:00pm,Yes,Yes,No,<$25,4.4,http://places.singleplatform.com/keys-cafe/menu?ref=google,"44.97424415434229, -93.27164518378021"
Dave's Downtown,Fast casual,Sandwiches,AT&T,Skyway,"900 2nd Ave S #230, Minneapolis, MN 55402",7:30am,2:00pm,Yes,Yes,No,<$15,4.6,https://www.toasttab.com/davesdowntown?utm_source=google&utm_medium=organic&utm_campaign=gmb-oo-menu,"44.973755657084475, -93.2715729952624"
Ruth's Chris Steak House,Dine-in,Steak,AT&T,Ground,"920 2nd Ave S #100, Minneapolis, MN 55402",4:00pm,9:00pm,No,No,Yes,>$50,4.6,https://ruthschris.com/minneapolis/fine-dining/dinner-menu,"44.97314824611405, -93.27229676042451"
